name,role,org,url,date,confidence,notes
"Deepak Shenoy","Founder & CEO","Capitalmind","https://capitalmind.in/","2026-05-20","confirmed","Advocates focusing on earnings growth and structural domestic flows (SIPs) rather than short-term FII outflows."
"Nilesh Shah","Managing Director","Kotak Mahindra Asset Management","https://www.kotakmf.com/","2026-05-15","confirmed","Advises multi-asset allocation and moderate return expectations; cautions on high small-cap valuations."
"Saurabh Mukherjea","Founder","Marcellus Investment Managers","https://marcellus.in/","2026-05-24","confirmed","Advocates manufacturing exports shift, defensive large-cap compounding, and global diversification via GIFT City."
"Tuhin Kanta Pandey","Chairperson","SEBI","https://www.sebi.gov.in/","2026-05-27","confirmed","Warns of speculative risks in weekly index options and retail losses; monitoring STT hike impact."
"Sanjay Malhotra","Governor","Reserve Bank of India","https://www.rbi.org.in/","2026-05-15","confirmed","Maintains 5.25% repo rate and neutral policy stance; monitors inflation risks and forex volatility."
"Devina Mehra","Founder & CMD","First Global","https://firstglobalsec.com/","2026-05-22","confirmed","Constructive on bottoming market; favors sector rotation (auto, power) and global asset diversification."
"Radhika Gupta","MD & CEO","Edelweiss Mutual Fund","https://www.edelweissmf.com/","2026-05-25","confirmed","Advocates multi-asset 'dal-chaval' investing, multi-cap approach, realistic returns (11-12%), and gold/silver."
"Samir Arora","Founder","Helios Capital","https://helioscapital.in/","2026-05-19","confirmed","Employs elimination strategy to avoid permanent capital loss; targets 15% Nifty returns driven by earnings."
"Raamdeo Agrawal","Chairman & Co-Founder","Motilal Oswal Financial Services","https://www.motilaloswal.com/","2026-05-18","confirmed","Bullish on long-term India (Ferrari); favors large-caps, PSU banks, and QGLP quality-growth framework."
"Sunil Singhania","Founder","Abakkus Asset Management","https://abakkusinvest.com/","2026-05-20","confirmed","Views stagnation as healthy time-correction; expects double-digit earnings growth; favors financials and manufacturing."
"Ridham Desai","Managing Director","Morgan Stanley India","https://www.morganstanley.com/","2026-05-26","confirmed","Bullish on domestic cyclicals; projects Sensex target of 95,000 by Dec 2026; warns of global growth slowdown."
"Hiren Ved","Director & CIO","Alchemy Capital Management","https://www.alchemycapital.com/","2026-05-24","confirmed","GARP approach targeting 'Leaders of Tomorrow'; advocates buying on panic dips; favors power, NBFCs, and autos."
"Vikas Khemani","Founder & CIO","Carnelian Asset Management","https://www.carneliancapital.com/","2026-05-22","confirmed","Cautions against FOMO; expects double-digit earnings growth; favors large-cap banks and manufacturing."
"Nitesh Khandelwal","CEO","QuantInsti","https://www.quantinsti.com/","2026-04-20","confirmed","Proponent of systematic, rule-based algorithmic trading; focuses on AI tools and data API access."
"Alok Jain","Founder","WeekendInvesting","https://weekendinvesting.com/","2026-05-18","confirmed","Advocates mechanical, emotion-free momentum investing using model portfolios and systematic rebalancing."
