feature,sachnetra,moneycontrol,et_markets,google_news,finshots,trendlyne,tickertape,zerodha_kite,tradingview,bloomberg,heckyl
"India RSS multi-source digest","yes","yes","yes","yes","no","partial","partial","partial","partial","yes","yes"
"Headline -> ticker tags (G1)","yes","partial","partial","no","no","partial","partial","no","no","yes","yes"
"FII/DII flow tile","partial","yes","yes","no","no","yes","yes","partial","no","yes","yes"
"NSE filing PDF links","yes","partial","no","no","no","yes","yes","partial","no","yes","yes"
"Bulk/block deals","yes","yes","yes","no","no","yes","yes","partial","no","yes","yes"
"Sector rotation view","partial","yes","yes","no","no","yes","yes","no","yes","yes","yes"
"Hindi content","partial","yes","yes","yes","no","no","no","no","no","no","no"
"F&O chain / OI","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes"
"GMP / IPO grey market","no","partial","partial","no","no","no","no","no","no","no","no"
"Broker outage monitor","no","no","no","no","no","no","no","no","no","no","no"
"Community bullish/bearish","no","yes","no","no","no","no","yes","no","yes","no","yes"
"Backtest / event API","yes","no","no","no","no","partial","no","no","yes","yes","yes"
"Real-time ticks","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes"
"STT/regulatory explainers","no","partial","partial","no","yes","no","no","yes","no","no","no"
"Macro tiles (Brent, USDINR, VIX)","partial","yes","yes","no","no","yes","yes","partial","yes","yes","yes"
"Story threads / related news","yes","partial","partial","yes","no","no","no","no","no","yes","yes"
"FinBERT sentiment in DB","yes","no","no","no","no","no","no","no","no","no","yes"
"WhatsApp brief","no","partial","partial","no","yes","no","no","no","no","no","no"
"Smallcase / portfolio","no","partial","partial","no","no","partial","yes","yes","no","no","no"
"Google News personalization","no","partial","partial","yes","no","no","no","no","no","no","no"
