id,headline_snippet,tagged_ticker,should_tag,correct_tickers,first_run_result,v2_expected_result,source_file
"1","RCB or GT: Which Team Will Qualify For IPL 2026 Final If Qualifier 1 Gets Washed Out?","IPL","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 1"
"2","Airtel postpaid customers to automatically get benefit of 'Priority Postpaid' service: Airtel MD","BHARTIARTL.NS","Y","BHARTIARTL","TP","TP","coverage_check.md §11.3 row 2"
"3","Airtel defends 'Priority Postpaid' service before DoT panel, denies net neutrality violations","BHARTIARTL.NS","Y","BHARTIARTL","TP","TP","coverage_check.md §11.3 row 3"
"4","SBI Strike: एसबीआई कर्मचारियों की देशव्यापी हड़ताल टली, प्रबंधन से सकारात्मक बातचीत के बाद फैसला","SBIN.NS","Y","SBIN","TP","TP","coverage_check.md §11.3 row 4"
"5","Man Industries net down 25 pc on higher cost","MANINDS","Y","MANINDS","TP","TP","coverage_check.md §11.3 row 5"
"6","Broker’s Call: JK Cement (Buy)","JKCEMENT","Y","JKCEMENT","TP","TP","coverage_check.md §11.3 row 6"
"7","Dhir & Dhir associates launches sixth edition of virtual legal marathon on ESG: A 24-hour live research lab","MARATHON","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 7"
"8","Rain Disrupts Life In Tirumala, Tirupati; Provides Relief To Devotees","RAIN","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 8"
"9","KEC International secures new orders worth Rs 1,303 cr across businesses","KEC","Y","KEC","TP","TP","coverage_check.md §11.3 row 9"
"10","Quad strengthens counter-terror focus, condemns April 2025 Pahalgam attack: MEA","FOCUS","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 10"
"11","Maruti Suzuki urges employees towards WFH, carpool amid Modi's austerity call","MARUTI","Y","MARUTI","TP","TP","coverage_check.md §11.3 row 11"
"12","L&T's Vyoma ties up with Open Dhi to host its enterprise platforms on sovereign cloud","LT.NS","Y","LT","TP_OLD","TP","coverage_check.md §11.3 row 12"
"13","Black Box Q4 profit grows 7% to ₹65 crore","BBOX","Y","BBOX","TP","TP","coverage_check.md §11.3 row 13"
"14","RCB vs GT Live Score Qualifier 1 IPL 2026: Sai Sudharsan, Shubman Gill Departs Early In 255 Chase","IPL","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 14"
"15","Momentum indicators remain strong for Narayana Hrudayalaya after breakout above consolidation range","NH","Y","NH","TP","TP","coverage_check.md §11.3 row 15"
"16","Maruti Suzuki to hike prices across models by up to ₹30,000 from June","MARUTI.NS","Y","MARUTI","TP","TP","coverage_check.md §11.3 row 16"
"17","Stocks to Watch today: Coal India, PhysicsWallah, ONGC, Siemens, IRCTC","COALINDIA, IRCTC, ONGC, PWL","Y","COALINDIA, IRCTC, ONGC, PWL, SIEMENS","TP_PARTIAL","TP_FULL","coverage_check.md §11.3 row 17"
"18","Royal Enfield Bullet 650 India Launch - The Most Powerful Bullet Ever Is Almost Here","EICHERMOT","Y","EICHERMOT","TP","TP","coverage_check.md §11.3 row 18"
"19","AI Cost Crunch: Microsoft Cutting Claude Code Access, Redirecting Engineers To GitHub Copilot CLI","ENGINERSIN","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 19"
"20","Sun Pharma Q4 profit rises 26% to Rs 2,714 crore, revenue grows 13%, dividend announced","SUNPHARMA.NS","Y","SUNPHARMA","TP","TP","coverage_check.md §11.3 row 20"
"21","L&T wins orders from JSW Utkal Steel, IWAI, others","LT.NS","Y","LT, JSWSTEEL","TP_PARTIAL","TP_FULL","coverage_check.md §11.3 row 21"
"22","ITC, Varun Beverages, HUL, others: Fresh target prices, preferred stocks and more","HINDUNILVR, VBL","Y","HINDUNILVR, VBL, ITC","TP_PARTIAL","TP_FULL","coverage_check.md §11.3 row 22"
"23","Nashik Police file first charge sheet in TCS sexual assault case","TCS.NS","Y","TCS","TP","TP","coverage_check.md §11.3 row 23"
"24","New Gorakhpur–Lucknow train to boost connectivity across 7 UP districts — Full route here","ROUTE","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 24"
"25","Bengal: FIR against Mamata Banerjee for remarks 'hurting religious sentiments'","MAMATA","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 25"
"26","RCB and GT Set for IPL Qualifier 1 Blockbuster","IPL","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 26"
"27","IPL 2026 | GT win toss, elect to bowl against RCB in Qualifier 1","IPL","N","","FP","OK_NOT_TAGGED","coverage_check.md §11.3 row 27"
"28","Stellantis Taps Tata Motors to Build Jeep Vehicles for Global Markets from India","TATAMOTORS.NS","Y","TATAMOTORS","TP","TP","coverage_check.md §11.3 row 28"
"29","HDFC Bank falls on report of payments to attract big deposits","HDFCBANK","Y","HDFCBANK","TP","TP","coverage_check.md §11.3 row 29"
"30","Passengers evacuated using slides at BLR after smoke on taxiing IndiGo aircraft","INDIGO","Y","INDIGO","TP","TP","coverage_check.md §11.3 row 30"
