id,bucket,claude,gemini,note
p1d-01,C,B,C,"Tata Sons is UNLISTED (article itself discusses its *potential* listing) → primary_entity should be none. Reconciled to C (conceded to Gemini; consistent with the listed-universe principle)."
p1d-02,A,A,A,"Correct decline — SpaceX foreign."
p1d-03,A,A,A,"ICICI Pru Life results, -26%/-19.45% faithful."
p1d-04,A,A,A,"Correct decline — Rekise Marine private."
p1d-05,A,A,A,"Correct decline — wealth-management sector piece."
p1d-06,A,A,A,"Compliant decline — SEBI delisting framework."
p1d-07,A,A,A,"Tata Elxsi results, mild-negative correct."
p1d-08,A,A,A,"Reliance results, mixed/slightly-positive correct."
p1d-09,A,A,A,"Correct decline — Housing.com (REA India, private)."
p1d-10,B,B,B,"Dual primary_entity (Reliance Power / Reliance Infra) — both graders agree minor slip."
p1d-11,A,A,A,"Correct decline — SpaceX ETF, US."
p1d-12,A,A,A,"ICICI Pru Life results, -26% faithful."
p1d-13,A,A,A,"Epigral results, mild-negative correct; listed."
p1d-14,A,A,A,"Correct decline — Bezos AI startups, US/private."
p1d-15,A,A,A,"TCS Oracle lab, minor-positive; 'other' acceptable."
p1d-16,A,A,A,"Correct decline — macro ECB aggregate; bonus inr- factor."
p1d-17,A,A,A,"Correct decline — Shell buyback, British."
p1d-18,A,A,A,"Cyient DLM results, strong-positive correct."
p1d-19,A,A,A,"Tejas Networks results, strong-positive correct."
p1d-20,A,A,C,"RESOLVED A — Meesho IS listed (IPO Dec 2025, ticker MEESHO; article shows shares Rs167). Gemini's 'unlisted' = stale knowledge. The exact case the nse-equity-master gate fixes."
p1d-21,C,C,C,"Block deal (GS/MS buy 2.3% from ADIA) mislabeled mna — both graders agree C. (Gemini's added 'Lenskart unlisted' reasoning is wrong — it IS on NSE — but the mna call is the valid C.)"
p1d-22,A,A,A,"Correct decline — US data-center poll."
p1d-23,A,A,A,"Compliant decline — SEBI long-term F&O."
p1d-24,A,A,A,"Sterling & Wilson turnaround parsed correctly."
p1d-25,A,A,A,"Correct decline — Byju's private."
p1d-26,A,A,A,"Dabur FDA import alert, negative held vs company spin."
p1d-27,A,A,A,"Tata Consumer results, -19% faithful."
p1d-28,C,C,C,"Promoter MPS stake-sale mislabeled mna — both graders agree C (rationale self-contradicts the label)."
p1d-29,A,A,A,"Correct decline — Tata Sons (unlisted) board meeting."
p1d-30,B,B,A,"Private arm 'Reliance 4IR Realty' attributed to listed RIL. Kept B (imprecise); Gemini lenient A. Immaterial to verdict."
