id,bucket,primary_entity,event_type,stance,grader_note
p1d-01,B,Tata Sons,results,0.0,"Tata Sons is UNLISTED — a strict listed-universe system wants none (cf p1d-29 which correctly returned none on the same topic). Direction fine."
p1d-02,A,none,none,0.0,"Correct decline — SpaceX foreign, explicitly no Indian allotment."
p1d-03,A,ICICI Prudential Life Insurance,results,-0.5,"Net profit -26%, VNB -19.45% — direction + numbers faithful."
p1d-04,A,none,none,0.0,"Correct decline — Rekise Marine private seed round."
p1d-05,A,none,none,0.0,"Correct decline — wealth-management sector analysis, no single subject."
p1d-06,A,none,none,0.0,"Compliant decline — SEBI delisting framework (would route to a regulatory factor in prod)."
p1d-07,A,Tata Elxsi,results,-0.2,"QoQ/YoY profit decline; mild-negative defensible despite FY growth + dividend."
p1d-08,A,Reliance Industries,results,0.1,"Sales +11.08%, profit -1.8%, EBITDA +13.76% — mixed/slightly-positive correct."
p1d-09,A,none,none,0.0,"Correct decline — Housing.com (REA India, private)."
p1d-10,B,Reliance Power / Reliance Infrastructure,legal,-0.3,"Dual primary_entity (schema wants one). Both listed, legal + negative correct."
p1d-11,A,none,none,0.0,"Correct decline — SpaceX leveraged ETF delay, US."
p1d-12,A,ICICI Prudential Life Insurance,results,-0.4,"Net profit -26% to Rs174cr — faithful."
p1d-13,A,Epigral,results,-0.1,"Sales -6.68%, profit flat (+0.71%) — mild-negative correct; Epigral is listed."
p1d-14,A,none,none,0.0,"Correct decline — Bezos AI startups, US/private."
p1d-15,A,Tata Consultancy Services,other,0.2,"Oracle AI lab launch — minor-positive PR; 'other' acceptable."
p1d-16,A,none,none,0.0,"Correct decline — macro ECB aggregate naming many borrowers; bonus inr- factor flagged."
p1d-17,A,none,none,0.0,"Correct decline — Shell buyback pause, British."
p1d-18,A,Cyient DLM,results,0.8,"PAT +92.9%, rev +30.5% — strong-positive correct."
p1d-19,A,Tejas Networks,results,0.9,"Sales +343%, swung to Rs146.78cr profit — strong-positive correct."
p1d-20,A,Meesho,mna,0.3,"Acquires Kirana Club ~Rs202cr; Meesho IS listed (body: shares Rs167) — mna correct."
p1d-21,C,Lenskart Solutions,mna,0.1,"MISLABEL: a secondary BLOCK DEAL (GS/MS buy 2.3% from ADIA) labeled 'mna' (implies control change). No block-deal category in taxonomy → forced error. 'other' was right."
p1d-22,A,none,none,0.0,"Correct decline — US data-center poll."
p1d-23,A,none,none,0.0,"Compliant decline — SEBI long-term F&O market structure."
p1d-24,A,Sterling and Wilson Renewable Energy,results,0.6,"Parsed the turnaround correctly (prior -417cr loss → +1.45cr) despite garbled 'up 100.35%'; sales +1232%."
p1d-25,A,none,none,0.0,"Correct decline — Byju's (Think & Learn, private)."
p1d-26,A,Dabur India,regulatory,-0.6,"US FDA import alert; negative call held despite company's 'no financial impact' spin."
p1d-27,A,Tata Consumer Products,results,-0.3,"Net profit -19% to Rs217cr, missed estimates — faithful."
p1d-28,C,GNG Electronics,mna,0.2,"MISLABEL: promoter MPS stake-sale labeled 'mna' — rationale itself says 'to meet public shareholding norms', contradicting the label. Same taxonomy gap as p1d-21."
p1d-29,A,none,none,0.0,"Correct decline — Tata Sons (unlisted) board meeting; the consistent-correct handling vs p1d-01."
p1d-30,B,Reliance Industries,order_win,0.3,"Bidder is 'Reliance 4IR Realty Pvt Ltd' (private group arm), attributed to listed RIL — imprecise; RIL stock needn't move on a private-arm slum bid."
